contrast_img,correct_resp
stims/anticipation/rendered_thresh_zstat6_sub-0015.png,Neg-scene
stims/anticipation/rendered_thresh_zstat6_sub-0019.png,Neg-scene
stims/anticipation/rendered_thresh_zstat6_sub-0023.png,Neg-scene
stims/anticipation/rendered_thresh_zstat6_sub-0025.png,Neg-scene
stims/anticipation/rendered_thresh_zstat6_sub-0026.png,Neg-scene
stims/anticipation/rendered_thresh_zstat6_sub-0028.png,Neg-scene
stims/anticipation/rendered_thresh_zstat6_sub-0029.png,Neg-scene
stims/anticipation/rendered_thresh_zstat6_sub-0042.png,Neg-scene
stims/anticipation/rendered_thresh_zstat6_sub-0075.png,Neg-scene
stims/anticipation/rendered_thresh_zstat6_sub-0077.png,Neg-scene
stims/gstroop/rendered_thresh_zstat3_sub-0013.png,conflict
stims/gstroop/rendered_thresh_zstat3_sub-0018.png,conflict
stims/gstroop/rendered_thresh_zstat3_sub-0032.png,conflict
stims/gstroop/rendered_thresh_zstat3_sub-0051.png,conflict
stims/gstroop/rendered_thresh_zstat3_sub-0054.png,conflict
stims/gstroop/rendered_thresh_zstat3_sub-0057.png,conflict
stims/gstroop/rendered_thresh_zstat3_sub-0065.png,conflict
stims/gstroop/rendered_thresh_zstat3_sub-0082.png,conflict
stims/gstroop/rendered_thresh_zstat3_sub-0091.png,conflict
stims/gstroop/rendered_thresh_zstat3_sub-0092.png,conflict
stims/harriri/rendered_thresh_zstat3_sub-0024.png,faces
stims/harriri/rendered_thresh_zstat3_sub-0038.png,faces
stims/harriri/rendered_thresh_zstat3_sub-0042.png,faces
stims/harriri/rendered_thresh_zstat3_sub-0046.png,faces
stims/harriri/rendered_thresh_zstat3_sub-0063.png,faces
stims/harriri/rendered_thresh_zstat3_sub-0065.png,faces
stims/harriri/rendered_thresh_zstat3_sub-0070.png,faces
stims/harriri/rendered_thresh_zstat3_sub-0075.png,faces
stims/harriri/rendered_thresh_zstat3_sub-0083.png,faces
stims/harriri/rendered_thresh_zstat3_sub-0090.png,faces
stims/workingmemory/rendered_thresh_zstat3_sub-0013.png,WM
stims/workingmemory/rendered_thresh_zstat3_sub-0015.png,WM
stims/workingmemory/rendered_thresh_zstat3_sub-0022.png,WM
stims/workingmemory/rendered_thresh_zstat3_sub-0024.png,WM
stims/workingmemory/rendered_thresh_zstat3_sub-0026.png,WM
stims/workingmemory/rendered_thresh_zstat3_sub-0039.png,WM
stims/workingmemory/rendered_thresh_zstat3_sub-0050.png,WM
stims/workingmemory/rendered_thresh_zstat3_sub-0055.png,WM
stims/workingmemory/rendered_thresh_zstat3_sub-0057.png,WM
stims/workingmemory/rendered_thresh_zstat3_sub-0060.png,WM
